## xgal,ygal,zgal,mgal,rhgas,rhstar,R200,M200,RTopHat,MTopHat 
70.115730,11.470757,12.677812,1897727872.000000,0.000000,2.499475,389.293793,6300541911040.000000,527.053894,7981204242432.000000 
14.084373,7.939383,13.899376,1429276416.000000,0.000000,2.400095,348.094025,4504247861248.000000,472.014709,5732630528000.000000 
89.181793,57.489941,11.381533,2527027968.000000,0.000000,2.587653,467.331390,10899648675840.000000,632.729736,13808829464576.000000 
86.568329,69.330849,13.408484,11641981952.000000,7.233072,4.259787,502.493134,13550729822208.000000,675.704041,16818752192512.000000 
48.717228,10.111548,12.416926,3969731328.000000,6.961874,3.979883,218.024460,1106697388032.000000,305.763153,1558502178816.000000 
57.545517,33.161427,11.844048,1240746624.000000,12.525882,3.861508,228.893036,1280631111680.000000,303.848816,1529327517696.000000 
89.850388,60.103535,11.154169,11186173952.000000,7.560685,3.694885,210.818146,1000594735104.000000,286.264282,1278945787904.000000 
47.965408,10.192310,13.477723,2550434816.000000,4.413209,3.080927,200.221207,857135316992.000000,263.837799,1001220407296.000000 
59.018555,2.157819,14.552153,1797698944.000000,9.221680,4.028621,114.624184,160829571072.000000,189.878342,373216444416.000000 
50.645699,88.736801,12.768279,1249146880.000000,18.721823,6.710679,119.349106,181561016320.000000,156.438980,208730980352.000000 
58.317825,31.972620,11.957831,1293571584.000000,14.448073,2.639955,104.431992,121645268992.000000,136.131287,137532489728.000000 
15.471389,35.699493,10.983933,3442937856.000000,29.339720,3.107064,104.805809,122948427776.000000,137.125793,140558581760.000000 
80.047531,97.452156,14.285961,2218778112.000000,1.381922,2.637016,463.108612,10606722678784.000000,612.988953,12556585402368.000000 
24.035954,68.654366,10.345160,3398000384.000000,0.000000,2.477268,409.996185,7360510164992.000000,554.705505,9304240291840.000000 
90.361549,4.567014,12.259269,4810830848.000000,12.189040,4.066978,280.130951,2347537268736.000000,373.431580,2839079026688.000000 
59.001228,33.573021,11.501926,24608860160.000000,36.492439,2.911573,209.818207,986478673920.000000,277.492004,1164946702336.000000 
5.856491,80.559525,14.250072,17876035584.000000,167.641953,3.420660,212.627090,1026600468480.000000,292.418060,1363017596928.000000 
90.026260,4.235643,13.622039,24986570752.000000,127.798096,5.239768,223.762665,1196427575296.000000,295.824524,1411235840000.000000 
29.917091,10.648155,11.064810,12922754048.000000,16.156446,3.251024,218.525040,1114481623040.000000,292.270996,1361110499328.000000 
91.849602,5.410697,10.471552,16134369280.000000,103.863571,5.414992,213.904922,1045190672384.000000,289.264893,1319379140608.000000 
85.932327,49.434937,12.262382,35135070208.000000,107.502686,4.638741,213.071899,1033015132160.000000,280.423431,1202087788544.000000 
26.064270,91.465446,12.461787,34546106368.000000,105.904869,5.254929,218.376312,1112068063232.000000,284.071777,1249633239040.000000 
80.211830,93.220688,14.394065,19768481792.000000,112.233925,4.012803,200.081192,855354966016.000000,269.329865,1065114927104.000000 
55.565491,60.224060,13.955626,15997555712.000000,117.185249,3.831328,203.038757,893960519680.000000,269.319855,1064953184256.000000 
52.215492,18.479977,11.325742,20855375872.000000,42.267647,2.309484,175.017410,572527214592.000000,230.074814,663881711616.000000 
22.482626,69.932854,12.824538,21203890176.000000,136.860718,2.621773,203.835587,904455061504.000000,270.089233,1074125078528.000000 
51.202847,12.965213,13.671745,19780876288.000000,87.377930,4.334385,190.915634,743130333184.000000,251.234650,864490684416.000000 
91.199867,66.172523,11.958677,11501231104.000000,63.210972,2.878636,186.516861,692981268480.000000,245.018616,801953349632.000000 
49.367531,31.263538,12.197977,17168764928.000000,107.881386,3.105782,184.752457,673504952320.000000,242.942352,781649575936.000000 
72.022690,83.502739,11.065986,10111003648.000000,77.735329,4.374114,181.896866,642611019776.000000,238.674850,741166022656.000000 
67.038116,5.107239,14.655439,13413486592.000000,104.340118,3.273546,176.922714,591456763904.000000,237.763092,732777938944.000000 
70.813362,84.937019,13.012755,8840659968.000000,78.914040,6.495077,179.922287,622002569216.000000,238.005173,735010422784.000000 
29.047785,67.097099,14.585711,5896862720.000000,58.695782,4.614535,171.987396,543218335744.000000,232.468353,684930826240.000000 
71.591888,83.925842,13.170867,7822578176.000000,98.646362,2.373965,173.932098,561868505088.000000,229.137054,655893069824.000000 
4.061299,52.533367,10.812454,7256238592.000000,80.280350,4.909245,168.844650,514044755968.000000,223.423203,608041828352.000000 
8.748585,6.391703,13.997478,13901729792.000000,77.323677,4.619319,170.412827,528450519040.000000,223.464554,608284901376.000000 
47.712494,11.894391,11.306685,12203298816.000000,54.705700,3.591903,162.330292,456747253760.000000,213.364929,529504632832.000000 
66.132942,68.043556,10.512541,6374668288.000000,98.078850,3.217997,162.687286,459780915200.000000,215.516708,545709424640.000000 
21.890432,40.230213,14.647683,5827716608.000000,62.686043,3.357060,161.945358,453604900864.000000,212.897247,526069825536.000000 
51.538658,27.363146,11.397596,5686296576.000000,45.063049,4.562161,152.444351,378307280896.000000,202.653809,453733482496.000000 
28.820972,10.120541,14.140647,12269166592.000000,19.174728,2.933389,158.659973,426576150528.000000,206.106369,477335191552.000000 
91.274445,61.314129,12.401000,5476367360.000000,73.936966,2.856071,156.241898,407294312448.000000,206.259720,478333960192.000000 
90.421860,61.204052,11.072896,3080930816.000000,81.793922,2.818614,147.657684,343815979008.000000,196.976242,416609370112.000000 
51.294746,0.010177,10.807664,4117006336.000000,45.215897,3.568879,151.424240,370776834048.000000,200.039047,436357070848.000000 
30.508665,69.094696,13.462219,5116009472.000000,35.211884,3.171083,149.274979,355244179456.000000,196.336273,412577366016.000000 
20.647568,65.753517,14.386338,6905669632.000000,84.921494,2.869577,154.707153,395432951808.000000,203.689774,460695339008.000000 
82.001106,4.426045,10.724889,4772273152.000000,74.338379,2.870502,143.197845,313554501632.000000,188.948242,367765127168.000000 
29.351183,66.449364,14.983038,1485826176.000000,67.087402,2.000828,128.277466,225398439936.000000,173.678146,285626662912.000000 
35.140221,69.749870,12.525558,6449169920.000000,64.243973,3.320292,147.775330,344637210624.000000,193.942429,397704658944.000000 
65.215508,97.145386,10.951527,3356355072.000000,49.288704,3.492376,144.717834,323692429312.000000,189.925400,373504081920.000000 
50.078102,83.954346,10.900599,5684888576.000000,62.285564,4.935553,142.573303,309499428864.000000,189.161072,369029054464.000000 
82.524162,93.614876,10.293630,2710778624.000000,91.396248,2.363454,141.958618,305542823936.000000,188.471802,364969099264.000000 
53.264748,48.002823,13.398236,2276363776.000000,59.870304,2.800846,140.757660,297775923200.000000,186.339996,352703348736.000000 
70.685806,85.207809,13.384037,4827570688.000000,27.893375,4.035362,139.602066,290559459328.000000,182.318466,330367959040.000000 
46.368271,72.159973,10.356766,2577021184.000000,81.161407,2.955112,141.759827,304263299072.000000,185.626038,348669280256.000000 
55.154099,28.972311,14.004108,4296152576.000000,37.578243,4.700344,140.870956,298528538624.000000,184.384354,341716729856.000000 
86.840523,25.525204,10.046244,4615670272.000000,30.496935,2.807801,138.930038,286370398208.000000,180.126099,318593990656.000000 
87.397133,67.794975,12.237841,2314202112.000000,76.283813,2.404724,137.865311,279865884672.000000,184.848648,344354816000.000000 
40.623959,71.928696,10.832966,2130667392.000000,28.369270,2.164319,137.402695,277013594112.000000,178.450699,309798436864.000000 
51.046616,70.632133,12.655409,5220675072.000000,18.913504,3.523716,139.185074,287943426048.000000,179.788055,316836380672.000000 
49.535995,91.286186,11.898609,3166427392.000000,21.874077,2.838451,137.372986,276824326144.000000,179.030563,312804900864.000000 
24.292686,66.522194,10.640058,20418895872.000000,0.547536,3.481450,672.236206,32441261621248.000000,926.452820,43346852577280.000000 
29.718405,69.432312,13.972031,1950679808.000000,52.494026,4.084291,121.068237,189494722560.000000,162.955750,235888082944.000000 
75.236801,14.569229,13.969426,2658809600.000000,35.860271,3.525572,131.684601,243839188992.000000,173.096405,282725482496.000000 
71.737221,83.683388,11.733072,2198848768.000000,63.696728,4.897552,123.514870,201221750784.000000,164.889572,244407468032.000000 
95.944603,47.001915,12.505298,3533280256.000000,80.067787,2.451530,136.260223,270191247360.000000,177.340439,304061972480.000000 
53.824364,43.925556,10.271414,2984099072.000000,46.857578,3.597999,134.698822,260965875712.000000,175.528534,294811566080.000000 
44.222023,76.766342,11.188170,3293405952.000000,46.635704,3.307846,113.685829,156905177088.000000,152.737610,194258862080.000000 
77.482117,55.490921,10.058267,2681001728.000000,63.266293,3.640377,129.612396,232556560384.000000,171.003632,272590536704.000000 
62.011169,99.948265,10.810080,2558531584.000000,15.397294,2.777224,130.601013,237870039040.000000,170.010559,267871715328.000000 
90.070320,56.874405,14.685336,1472591872.000000,13.849654,4.150624,126.535416,216329043968.000000,167.652832,256880590848.000000 
35.028168,72.651588,14.779858,1668323840.000000,64.308830,2.534124,120.440125,186560790528.000000,159.755310,222262378496.000000 
30.523256,67.574310,11.646974,2155230720.000000,56.679546,2.915728,121.468155,191389712384.000000,161.174942,228263854080.000000 
68.839012,12.187745,12.984506,1548822784.000000,86.191322,2.375722,121.248901,190352097280.000000,160.191315,224093454336.000000 
65.471329,7.172730,13.500584,2387213824.000000,82.830482,3.124537,125.418259,210649972736.000000,163.949173,240241573888.000000 
31.888063,66.507240,10.700466,1140545152.000000,90.147240,1.973693,113.259071,155147337728.000000,150.686813,186517733376.000000 
48.998856,15.009698,11.799504,6930080768.000000,0.859622,2.173512,120.203072,185473892352.000000,155.312363,204223791104.000000 
87.179230,69.387611,13.216139,1537837184.000000,0.000000,1.824967,502.493134,13550729822208.000000,675.704041,16818752192512.000000 
90.508873,65.893074,12.589078,1826440576.000000,3.334813,2.369349,384.093323,6051031678976.000000,520.950012,7707196653568.000000 
47.698963,11.869857,11.295007,1316072320.000000,1.885861,2.469763,162.330292,456747253760.000000,213.364929,529504632832.000000 
89.661339,57.931927,11.457722,8687130624.000000,1.651590,2.943002,467.331390,10899648675840.000000,632.729736,13808829464576.000000 
89.406723,57.908340,11.711449,3739293696.000000,0.000000,2.117797,467.331390,10899648675840.000000,632.729736,13808829464576.000000 
87.092293,69.647484,13.349228,5380488704.000000,2.101269,4.349862,502.493134,13550729822208.000000,675.704041,16818752192512.000000 
65.570786,69.440918,13.421504,1584877312.000000,10.879236,3.696252,237.227737,1425729650688.000000,314.675415,1698716844032.000000 
